"date";"txHash";"txNoteUser";"fromAddress";"fromTagsUser";"fromNoteUser";"fromTags";"toAddress";"toTagsUser";"toNoteUser";"toTags";"tokenName";"tokenAddress";"tokenSymbol";"value";"usdPrice"
"2021-06-02 00:32:32";"0x7b3bb122aeea8e5febfe1b85a01bcc4afcd105f2425122d1161d813876bcbdd1";"";"0x56e71686c3a5d27b646af9597fa2c6b7ab2e4c51";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,02241617";"2593,056177702"
"2021-05-28 03:00:11";"0x656ea0a26b250ada76b48fd540f9f92715522597c338b587be68d47f8fdb0d68";"";"0xd48fb8a5f0c638b44607860f78fd4cb3b6269821";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,0084582775";"2726,3195623131"
"2021-05-27 09:55:53";"0xddede8d04b51f3fbd299c6f68757dcdfe5c9b49ec2f8492821be3607392867b7";"";"0x9175a19ee8128be650af78f16e99f10e00f42188";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,001645904";"2789,7533739461"
"2021-05-23 14:56:55";"0x7b9b39d2e9846cb31cd95462a685cc4b71c063c2dd6a79d0c7ac827119fa1607";"";"0x1c0eb30fa3713fca25b085051c4e3bb431b36625";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,02475225";"1993,0671449815"
"2021-05-21 11:35:15";"0x70b228e323a5b26a51db1776f6851079ba1bf66dab852c2c2cefb329d01468f9";"";"0x439ece51ef597302b241e2e9a0ac7be6ad07e23d";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,008";"2694,4508170549"
"2021-05-16 12:45:36";"0x49af88742a7d9e22afac9d03ccda83ab4391de078a216b795ec64e579d7ed5f3";"";"0x1d5da31237980bd00104e501ab744f973058dd74";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum Meta";"0x340ef83ec8560892168d4062720f030460468656";"ETHM";"252751,684564171673210200";"0,00019755417079"
"2021-05-16 10:51:53";"0xdaa920b982b3436a1fd26c9934cda594d68ff234d6a9d408f215d05374d1ee5d";"";"0x21b406e83789ca5079b9e7929c708b14c5299861";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,021655382929825";"3849,4688630116"
"2021-05-16 10:35:06";"0xeb0aa44682d64e8326ad2798dcd01ec7e1c95bcc051532ed5d9659022d8758f8";"";"0x60b585d92ca121af16995e0b472f46e1ace8bec7";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,0106";"3839,5019863851"
"2021-05-13 23:04:09";"0x0d0e8dd4bb3d1ae08dffe4a7d0d02721e88f6b2a352e39d38b01758bae7ae281";"";"0xeb24ff93fbbfb03a08dab46723fd378b8d3fe70c";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,001";"3670,8898111102"
"2021-05-13 12:09:08";"0xcd522a400e01210dfaff975469fd59007cd0152764fdf4b10a35871457fe8939";"";"0x29f60581c4bb58874a846c3b302bc8c548f595f8";"";"";"";"0xba2ae424d960c26247dd6c32edc70b295c744c43";"Eth Mainnet Only 6K|Define";"Identify";"";"CRD Network";"0xcaaa93712bdac37f736c323c93d4d5fdefcc31cc";"CRD";"1023,952683761241423872";"0,01178483576125"
